position,billboard_name
1,resources/billboards/diabetes_awareness.bmp
2,resources/billboards/healthy_sleep.bmp
3,resources/billboards/car_insurance.bmp
4,resources/billboards/caffeine_consumption.bmp
5,resources/billboards/lawyer.bmp
6,resources/billboards/travel_agency.bmp
7,resources/billboards/pet_store.bmp
8,resources/billboards/texting_driving.bmp
9,resources/billboards/sun_skin_protection.bmp
10,resources/billboards/hotel.bmp
11,resources/billboards/museum.bmp
12,resources/billboards/cosmetics.bmp
13,resources/billboards/burger.bmp
14,resources/billboards/pizza.bmp
15,resources/billboards/handwashing.bmp
16,resources/billboards/movie_premiere.bmp
17,resources/billboards/vaccination.bmp
18,resources/billboards/binge_drinking.bmp
19,resources/billboards/clothes_sale.bmp
20,resources/billboards/employee_wellness.bmp
21,resources/billboards/great_lakes.bmp
22,resources/billboards/brunch.bmp
23,resources/billboards/moving_business.bmp
24,resources/billboards/mental_health.bmp
25,resources/billboards/healthy_diet.bmp
26,resources/billboards/fundraising.bmp
27,resources/billboards/carpet_cleaning.bmp
28,resources/billboards/smoking_cessation.bmp
29,resources/billboards/jogging_physical_activity.bmp
30,resources/billboards/smartphone.bmp
31,resources/billboards/pottery_class.bmp
32,resources/billboards/HIV.bmp
33,resources/billboards/regular_doctor_visits.bmp
34,resources/billboards/buckle_up.bmp
35,resources/billboards/furniture.bmp
36,resources/billboards/recycling.bmp
37,resources/billboards/grocery_store.bmp
38,resources/billboards/coffee.bmp
39,resources/billboards/drug_abuse.bmp
40,resources/billboards/polar_bear.bmp
