seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	

0.06    	6.01    	5.79    	108.41  	-3.26   	2.77    	0.55    	4.20    	-       	
0.13    	5.66    	4.86    	110.00  	-3.26   	2.77    	0.55    	4.22    	-       	
0.20    	4.80    	4.20    	111.33  	-3.26   	2.77    	0.55    	4.28    	-       	
0.27    	4.89    	4.11    	111.78  	-3.26   	2.77    	0.55    	4.28    	-       	
0.33    	4.97    	3.99    	113.35  	-3.26   	2.77    	0.55    	4.31    	-       	
0.40    	9.52    	4.53    	186.65  	-3.26   	2.77    	0.55    	4.34    	-       	
0.46    	4.79    	2.68    	245.80  	-3.26   	2.77    	0.55    	4.47    	-       	
0.54    	0.00    	0.00    	0.00    	-3.26   	2.77    	0.55    	4.42    	-       	
0.62    	0.00    	0.00    	0.00    	-3.26   	2.77    	0.55    	4.42    	-       	
0.69    	0.00    	0.00    	0.00    	-3.26   	2.77    	0.55    	4.45    	-       	
0.75    	0.00    	0.00    	0.00    	-3.26   	2.77    	0.55    	4.47    	-       	
0.82    	0.00    	0.00    	0.00    	-3.27   	2.77    	0.55    	4.47    	-       	
0.88    	0.00    	0.00    	0.00    	-3.27   	2.77    	0.55    	4.50    	-       	
0.96    	0.00    	0.00    	0.00    	-3.27   	2.77    	0.55    	4.44    	-       	
1.02    	0.00    	0.00    	0.00    	-3.26   	2.77    	0.55    	4.47    	-       	
1.08    	0.00    	0.00    	0.00    	-3.26   	2.77    	0.55    	4.48    	-       	
1.14    	0.00    	0.00    	0.00    	-3.26   	2.77    	0.55    	4.48    	-       	
1.21    	0.00    	0.00    	0.00    	-3.26   	2.77    	0.55    	4.48    	-       	
1.27    	0.00    	0.00    	0.00    	-3.26   	2.77    	0.55    	4.47    	-       	
1.34    	0.00    	0.00    	0.00    	-3.26   	2.77    	0.55    	4.46    	-       	
1.41    	4.49    	5.13    	109.25  	-3.26   	2.77    	0.55    	4.45    	-       	
1.48    	4.70    	5.28    	109.30  	-3.26   	2.77    	0.55    	4.48    	-       	
1.54    	4.75    	5.09    	109.64  	-3.26   	2.77    	0.57    	4.50    	-       	
1.61    	4.67    	5.15    	109.46  	-3.26   	2.77    	0.61    	4.51    	-       	
1.69    	4.79    	4.88    	109.79  	-3.26   	2.77    	0.67    	4.51    	-       	
1.76    	4.74    	4.57    	108.73  	-3.26   	2.77    	0.75    	4.49    	-       	
1.81    	4.82    	4.35    	111.45  	-3.26   	2.77    	0.85    	4.48    	-       	
1.88    	4.53    	4.70    	108.97  	-3.26   	2.77    	0.95    	4.48    	-       	
1.94    	4.87    	4.46    	111.51  	-3.26   	2.77    	1.06    	4.48    	-       	
2.00    	-6.61   	2.48    	11.91   	-3.26   	2.77    	1.19    	4.61    	-       	
2.09    	-6.61   	2.33    	11.91   	-3.26   	2.77    	1.34    	4.54    	-       	
2.16    	-6.61   	2.33    	11.91   	-3.26   	2.77    	1.57    	4.57    	-       	
2.21    	-6.51   	2.36    	11.91   	-3.26   	2.77    	1.76    	4.60    	-       	
2.29    	-6.57   	2.36    	11.91   	-3.26   	2.77    	1.92    	4.60    	-       	
2.35    	-6.52   	2.32    	11.91   	-3.26   	2.77    	2.12    	4.58    	-       	
2.42    	0.00    	0.00    	0.00    	-3.26   	2.77    	2.29    	4.53    	-       	
2.58    	1.93    	5.10    	183.09  	-3.26   	2.77    	2.48    	4.44    	-       	
2.64    	4.30    	5.09    	256.46  	-3.26   	2.77    	2.90    	4.47    	-       	
2.72    	7.64    	2.18    	381.88  	-3.26   	2.77    	3.08    	4.48    	-       	
2.80    	4.50    	0.52    	329.78  	-3.26   	2.77    	3.34    	4.49    	-       	
2.87    	7.54    	0.75    	423.05  	-3.26   	2.77    	3.61    	4.52    	-       	
2.93    	5.25    	0.62    	335.22  	-3.26   	2.77    	3.88    	4.52    	-       	
3.00    	7.60    	0.99    	426.01  	-3.26   	2.77    	4.13    	4.49    	-       	
3.06    	4.51    	1.92    	261.57  	-3.26   	2.77    	4.44    	4.48    	-       	
3.13    	0.00    	0.00    	0.00    	-3.26   	2.77    	4.72    	4.50    	-       	
3.19    	0.00    	0.00    	0.00    	-3.26   	2.77    	5.07    	4.50    	-       	
3.27    	0.00    	0.00    	0.00    	-3.26   	2.77    	5.38    	4.52    	-       	
3.33    	0.00    	0.00    	0.00    	-3.26   	2.77    	5.78    	4.52    	-       	
3.40    	0.00    	0.00    	0.00    	-3.27   	2.77    	6.12    	4.53    	-       	
3.46    	0.00    	0.00    	0.00    	-3.27   	2.77    	6.55    	4.53    	-       	
3.53    	0.00    	0.00    	0.00    	-3.27   	2.77    	6.94    	4.52    	-       	
3.59    	0.00    	0.00    	0.00    	-3.27   	2.77    	7.39    	4.53    	-       	
3.66    	0.00    	0.00    	0.00    	-3.27   	2.77    	7.77    	4.58    	-       	
3.72    	5.12    	5.39    	999.42  	-3.26   	2.77    	8.22    	4.60    	-       	
3.80    	0.00    	0.00    	0.00    	-3.26   	2.77    	8.65    	4.59    	-       	
3.87    	0.00    	0.00    	0.00    	-3.26   	2.77    	9.28    	4.56    	-       	
3.93    	-35.96  	5.06    	179.02  	-3.26   	2.77    	9.80    	4.56    	-       	
3.99    	-48.59  	4.00    	143.17  	-3.26   	2.77    	10.33   	4.55    	-       	
4.06    	-52.29  	3.63    	146.08  	-3.26   	2.77    	10.82   	4.55    	-       	
4.12    	-52.64  	3.01    	145.73  	-3.26   	2.77    	11.31   	4.55    	-       	
4.19    	-54.17  	3.57    	154.99  	-3.26   	2.77    	11.81   	4.56    	-       	
4.25    	-52.39  	2.85    	146.08  	-3.27   	2.77    	12.37   	4.59    	-       	
4.31    	-22.48  	5.44    	57.51   	-3.27   	2.77    	12.84   	4.55    	-       	
4.38    	-22.78  	5.52    	57.21   	-3.27   	2.77    	13.35   	4.53    	-       	
4.44    	-22.90  	5.19    	57.48   	-3.27   	2.77    	13.87   	4.49    	-       	
4.51    	-22.81  	5.32    	57.50   	-3.27   	2.77    	14.42   	4.45    	-       	
4.58    	-22.60  	5.01    	57.94   	-3.27   	2.77    	14.91   	4.38    	-       	
4.64    	-56.01  	13.46   	146.17  	-3.27   	2.77    	15.48   	4.38    	-       	
4.71    	-55.80  	13.64   	146.17  	-3.27   	2.77    	15.97   	4.38    	gaze started: billboard_image_3	
4.77    	-55.33  	13.76   	146.17  	-3.27   	2.77    	16.55   	4.39    	-       	
4.86    	6.48    	7.58    	183.70  	-3.27   	2.77    	17.05   	4.44    	-       	
4.93    	10.34   	15.35   	182.73  	-3.27   	2.77    	17.71   	4.68    	-       	
4.99    	17.36   	25.74   	833.90  	-3.27   	2.77    	18.27   	4.34    	-       	
5.05    	2.52    	5.48    	183.68  	-3.27   	2.77    	18.77   	4.37    	-       	
5.12    	5.78    	4.00    	182.81  	-3.27   	2.77    	19.28   	4.41    	-       	
5.18    	4.64    	5.24    	182.37  	-3.27   	2.77    	19.84   	4.38    	-       	
5.25    	5.69    	4.71    	181.67  	-3.26   	2.77    	20.31   	4.36    	-       	
5.31    	5.36    	3.98    	182.87  	-3.26   	2.77    	20.82   	4.34    	-       	
5.38    	4.89    	5.27    	176.66  	-3.26   	2.77    	21.32   	4.33    	-       	
5.44    	3.74    	4.42    	181.83  	-3.26   	2.77    	21.88   	4.36    	-       	
5.51    	3.75    	3.72    	181.26  	-3.26   	2.77    	22.37   	4.39    	-       	
5.57    	4.61    	4.04    	182.24  	-3.26   	2.77    	22.95   	4.43    	-       	
5.63    	4.55    	4.32    	183.00  	-3.26   	2.77    	23.41   	4.44    	-       	
5.69    	4.43    	3.49    	180.30  	-3.26   	2.77    	23.92   	4.44    	-       	
5.76    	4.33    	3.16    	181.75  	-3.26   	2.77    	24.40   	4.45    	-       	
5.82    	3.89    	3.33    	181.28  	-3.26   	2.77    	24.90   	4.48    	-       	
5.89    	0.00    	0.00    	0.00    	-3.26   	2.77    	25.41   	4.54    	-       	
5.96    	0.00    	0.00    	0.00    	-3.26   	2.77    	25.97   	4.57    	-       	
6.03    	0.00    	0.00    	0.00    	-3.26   	2.77    	26.56   	4.58    	-       	
6.09    	0.00    	0.00    	0.00    	-3.26   	2.77    	27.13   	4.59    	-       	
6.16    	0.00    	0.00    	0.00    	-3.26   	2.77    	27.61   	4.61    	-       	
6.22    	-28.75  	14.65   	202.50  	-3.26   	2.77    	28.11   	4.66    	-       	
6.29    	-31.28  	15.82   	201.34  	-3.26   	2.77    	28.59   	4.68    	-       	
6.35    	-59.92  	16.23   	202.46  	-3.26   	2.77    	29.17   	4.68    	gaze started: billboard_image_5	
6.42    	-45.88  	7.95    	117.45  	-3.27   	2.77    	29.69   	4.68    	-       	
6.48    	-44.90  	8.22    	113.76  	-3.27   	2.77    	30.24   	4.65    	-       	
6.56    	-51.99  	8.41    	118.72  	-3.27   	2.77    	30.71   	4.63    	-       	
6.62    	-21.97  	2.98    	56.26   	-3.28   	2.77    	31.31   	4.58    	-       	
6.69    	-23.04  	3.28    	58.09   	-3.28   	2.77    	31.80   	4.48    	-       	
6.75    	-23.34  	3.06    	58.38   	-3.29   	2.77    	32.37   	4.39    	-       	
6.82    	-27.48  	3.44    	55.75   	-3.29   	2.77    	32.88   	4.41    	-       	
6.88    	-27.48  	3.47    	55.84   	-3.30   	2.77    	33.44   	4.37    	gaze started: billboard_image_1	
6.96    	-27.48  	5.26    	54.61   	-3.30   	2.77    	33.92   	4.37    	-       	
7.03    	-27.48  	6.58    	54.95   	-3.30   	2.77    	34.50   	4.37    	-       	
7.10    	-27.48  	7.71    	54.76   	-3.31   	2.77    	35.06   	4.28    	-       	
7.16    	-27.48  	7.82    	54.62   	-3.31   	2.77    	35.66   	4.21    	gaze fixated: billboard_image_1	
